,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result,
760,Always,Always,Always,Always,Never,Always,Never,Always,Never,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,True,
608,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Never,Never,Always,Never,Never,Never,Never,Sometimes,Always,True,
464,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Never,Always,Always,Sometimes,Always,Always,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,True,
244,Always,Always,Sometimes,Always,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Sometimes,True,
852,Always,Never,Always,Always,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,True,
623,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Always,Always,Always,Always,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,False,
764,Never,Never,Sometimes,Always,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,True,
353,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Always,Never,Never,Always,Sometimes,Never,Sometimes,Always,Never,Always,False,
762,Always,Sometimes,Never,Always,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,True,
864,Sometimes,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Sometimes,True,
91,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Always,Sometimes,Sometimes,False,
599,Always,Always,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Always,Never,Always,Sometimes,Always,Sometimes,False,
480,Always,Always,Sometimes,Always,Never,Always,Never,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,True,
834,Never,Always,Always,Sometimes,Always,Sometimes,Never,Never,Always,Sometimes,Always,Never,Always,Never,Always,Never,Never,Sometimes,Never,Never,False,
102,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Always,True,
859,Sometimes,Always,Sometimes,Never,Sometimes,Always,Sometimes,Always,Never,Always,Never,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,Always,Never,False,
143,Never,Always,Sometimes,Never,Sometimes,Always,Always,Never,Always,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,True,
