ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
165,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Sometimes,Never,Never,Never,Never,Always,Always,Sometimes,Never,Sometimes,False
166,Never,Sometimes,Always,Never,Always,Sometimes,Always,Never,Always,Sometimes,Never,Never,Never,Always,Always,Sometimes,Sometimes,Never,Always,Always,True
167,Sometimes,Always,Always,Always,Always,Never,Always,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Never,Never,Always,Always,Sometimes,Sometimes,False
168,Always,Never,Sometimes,Sometimes,Always,Always,Never,Always,Never,Never,Always,Always,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,True
169,Sometimes,Never,Always,Never,Always,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Sometimes,False
170,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,True
171,Never,Never,Always,Never,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Always,Never,Always,Never,Always,Sometimes,Sometimes,False
172,Never,Never,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,True
173,Never,Sometimes,Never,Never,Always,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,False
174,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Never,Always,Always,Never,Sometimes,Never,Sometimes,Never,Never,Always,True
175,Sometimes,Always,Never,Always,Always,Never,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Never,Never,False
176,Never,Never,Always,Always,Always,Always,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,True
177,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Always,Never,Never,Always,Sometimes,Always,Never,Sometimes,Always,Sometimes,False
178,Always,Sometimes,Never,Always,Always,Always,Sometimes,Always,Always,Always,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Always,True
179,Always,Sometimes,Never,Never,Never,Always,Never,Never,Sometimes,Never,Never,Sometimes,Never,Always,Always,Never,Always,Never,Always,Never,False
180,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Never,Never,Never,Never,Always,Never,Never,Always,Always,Sometimes,Sometimes,Never,True
181,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,False
182,Never,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Always,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,True
183,Always,Sometimes,Never,Always,Always,Never,Always,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,False
184,Never,Never,Sometimes,Sometimes,Never,Always,Never,Always,Never,Never,Sometimes,Always,Always,Never,Sometimes,Always,Never,Always,Sometimes,Sometimes,True
185,Always,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,False
186,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,True
187,Sometimes,Never,Never,Always,Sometimes,Never,Never,Sometimes,Never,Never,Always,Never,Always,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,False
188,Never,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Never,Always,True
189,Sometimes,Never,Sometimes,Never,Always,Never,Always,Always,Always,Always,Always,Always,Never,Never,Sometimes,Always,Always,Always,Never,Never,False
190,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,True
191,Always,Always,Sometimes,Never,Always,Never,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Never,Never,Always,Never,Always,Always,Always,False
192,Never,Always,Always,Sometimes,Never,Always,Never,Never,Always,Always,Sometimes,Always,Always,Always,Never,Sometimes,Never,Always,Always,Never,True
193,Never,Never,Always,Sometimes,Never,Never,Always,Always,Always,Never,Never,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Never,Never,False
194,Never,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Never,Always,Never,Sometimes,Always,Never,Always,Sometimes,True
195,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Always,Always,Always,Never,False
196,Always,Never,Never,Never,Never,Sometimes,Never,Sometimes,Always,Always,Never,Always,Never,Never,Never,Always,Sometimes,Never,Always,Always,True
197,Never,Never,Never,Sometimes,Sometimes,Never,Never,Always,Sometimes,Never,Always,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,False
198,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Never,Never,Never,Always,Always,Sometimes,Always,Always,Never,Never,Always,Always,Always,True
199,Sometimes,Sometimes,Never,Never,Always,Sometimes,Never,Always,Always,Always,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Always,False
200,Sometimes,Never,Always,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Always,Always,Never,Always,Sometimes,True
201,Always,Always,Never,Never,Always,Sometimes,Always,Always,Never,Always,Never,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,False
202,Sometimes,Always,Sometimes,Never,Always,Sometimes,Never,Sometimes,Always,Sometimes,Never,Never,Never,Always,Never,Sometimes,Sometimes,Never,Sometimes,Always,True
203,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Always,Never,Sometimes,Never,Sometimes,Never,Always,Always,Always,Sometimes,Sometimes,Never,False
204,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Always,Always,Sometimes,Always,Never,Always,Always,True
205,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Never,Always,Sometimes,Sometimes,False
206,Sometimes,Always,Always,Always,Never,Always,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Never,True
207,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Never,Never,Always,Sometimes,False
208,Never,Sometimes,Always,Always,Never,Always,Always,Always,Always,Always,Never,Always,Always,Never,Sometimes,Always,Always,Always,Always,Sometimes,True
209,Sometimes,Sometimes,Never,Never,Never,Never,Always,Sometimes,Always,Never,Never,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,False
210,Sometimes,Never,Always,Sometimes,Always,Always,Always,Never,Never,Always,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Never,Always,Sometimes,True
211,Never,Always,Always,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Always,Never,Sometimes,Never,Sometimes,Never,Never,Always,False
212,Never,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,True
213,Never,Sometimes,Never,Never,Never,Always,Never,Never,Never,Never,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Never,False
214,Never,Always,Always,Always,Sometimes,Always,Always,Never,Never,Never,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Never,Never,True
215,Sometimes,Always,Never,Never,Sometimes,Never,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Always,Sometimes,False
216,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,True
217,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Always,Always,Always,Always,Sometimes,Never,Sometimes,Always,Never,False
218,Always,Sometimes,Never,Always,Never,Always,Never,Sometimes,Always,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,True
219,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Always,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Always,Never,Never,False
220,Sometimes,Always,Sometimes,Always,Never,Always,Never,Never,Never,Sometimes,Never,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Never,True
221,Always,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Never,Always,Never,Always,Sometimes,False
222,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Never,Always,True
223,Always,Never,Sometimes,Never,Never,Always,Always,Always,Always,Never,Never,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,False
224,Always,Always,Never,Always,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Always,Never,Never,True
225,Sometimes,Always,Always,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Always,Never,Never,Always,Always,False
226,Always,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Always,Never,Never,Sometimes,Sometimes,Sometimes,True
227,Never,Never,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,False
228,Sometimes,Sometimes,Sometimes,Always,Never,Always,Always,Always,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Always,Sometimes,Sometimes,Always,True
229,Always,Always,Always,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,Always,Never,Never,Never,False
230,Always,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,True
231,Always,Never,Never,Sometimes,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Never,False
232,Sometimes,Never,Always,Never,Never,Always,Always,Sometimes,Always,Never,Always,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,True
233,Always,Always,Sometimes,Never,Sometimes,Never,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Always,Never,False
234,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Always,Never,Sometimes,Sometimes,Always,Never,Never,Always,True
235,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Always,Always,Sometimes,Never,Always,False
236,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Always,Never,Sometimes,Never,Never,Always,Always,True
237,Sometimes,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Always,False
238,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Always,Never,Always,Never,Always,Never,Never,Never,Never,Always,True
239,Never,Never,Never,Never,Never,Sometimes,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Never,False
240,Never,Sometimes,Never,Always,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Always,True
241,Always,Always,Never,Always,Never,Never,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,Sometimes,Always,Never,Never,Always,Never,False
242,Sometimes,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,True
243,Never,Sometimes,Always,Never,Never,Never,Never,Never,Never,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,False
244,Never,Always,Never,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Always,Never,Always,True
245,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Always,Never,Always,Always,Never,Always,Never,False
246,Always,Always,Never,Always,Always,Always,Always,Sometimes,Sometimes,Always,Always,Always,Always,Sometimes,Always,Never,Sometimes,Never,Never,Never,True
247,Sometimes,Never,Sometimes,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Never,Always,Never,Sometimes,False
248,Always,Sometimes,Sometimes,Always,Never,Always,Never,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Always,True
249,Always,Always,Always,Never,Always,Always,Always,Never,Sometimes,Never,Never,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Sometimes,Never,False
250,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Always,Always,Sometimes,Always,Sometimes,Always,Always,Never,Never,True
251,Sometimes,Always,Never,Always,Always,Never,Always,Always,Sometimes,Never,Always,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,False
252,Always,Always,Always,Always,Never,Sometimes,Sometimes,Never,Always,Never,Never,Always,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,True
253,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,Always,False
254,Sometimes,Always,Always,Sometimes,Never,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,True
255,Sometimes,Always,Never,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Always,Never,Never,Never,Never,Always,Always,Never,Sometimes,Never,False
256,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Always,Sometimes,True
257,Sometimes,Never,Always,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Never,Never,Never,Always,Never,Sometimes,False
258,Sometimes,Never,Always,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,Never,Sometimes,Always,Never,Never,Sometimes,True
259,Always,Never,Never,Never,Sometimes,Always,Sometimes,Always,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Always,False
260,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Always,Always,Never,Never,Sometimes,Always,Always,Always,Sometimes,True
261,Sometimes,Always,Sometimes,Never,Never,Sometimes,Never,Always,Never,Always,Never,Never,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,False
262,Sometimes,Sometimes,Always,Never,Always,Always,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,True
263,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Always,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,False
264,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Never,Never,Always,Always,Always,Always,Sometimes,Never,Sometimes,Always,Always,Never,True
265,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Never,Never,Always,Always,Sometimes,Never,Always,Never,Sometimes,Never,Sometimes,Never,False
266,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Always,Never,Never,Always,Always,Never,Always,Always,Always,Never,True
267,Never,Always,Sometimes,Never,Never,Never,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Never,False
268,Sometimes,Always,Always,Never,Always,Always,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Never,True
269,Never,Always,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Never,False
270,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,True
271,Sometimes,Always,Always,Never,Always,Never,Sometimes,Always,Always,Always,Sometimes,Always,Always,Sometimes,Never,Never,Always,Always,Always,Never,False
272,Always,Sometimes,Never,Never,Always,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Always,Always,Always,Always,Sometimes,Sometimes,True
273,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Always,Never,Always,Never,Always,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,False
274,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Always,Always,Sometimes,Always,Never,True
275,Always,Never,Always,Never,Never,Always,Never,Never,Always,Always,Always,Never,Never,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,False
276,Never,Sometimes,Always,Never,Never,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,True
277,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Always,False
278,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,True
279,Always,Never,Always,Never,Always,Never,Sometimes,Sometimes,Always,Always,Never,Sometimes,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Always,False
280,Always,Never,Always,Sometimes,Never,Always,Sometimes,Always,Sometimes,Never,Never,Sometimes,Never,Always,Always,Never,Never,Always,Sometimes,Sometimes,True
281,Never,Never,Never,Never,Always,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Always,False
282,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,True
283,Sometimes,Never,Sometimes,Never,Never,Always,Never,Never,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,False
284,Always,Never,Always,Always,Always,Always,Always,Never,Always,Sometimes,Always,Never,Always,Never,Always,Always,Sometimes,Never,Sometimes,Always,True
285,Always,Always,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Never,Sometimes,Always,Always,Never,Sometimes,Never,Always,Always,Always,Never,False
286,Never,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Always,Always,Never,Always,Never,True
287,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,Never,Sometimes,Always,Always,Never,Never,False
288,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Always,Never,Never,True
289,Never,Never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Never,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Always,Always,False
290,Always,Sometimes,Always,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,True
291,Never,Never,Sometimes,Never,Always,Always,Sometimes,Never,Never,Never,Never,Always,Never,Always,Never,Always,Sometimes,Always,Always,Never,False
292,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Always,True
293,Sometimes,Always,Always,Never,Sometimes,Never,Never,Always,Always,Always,Never,Never,Never,Always,Sometimes,Always,Always,Sometimes,Sometimes,Never,False
294,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Never,Never,Never,True
295,Sometimes,Never,Never,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,False
296,Never,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,True
297,Sometimes,Always,Never,Always,Always,Never,Never,Always,Never,Always,Never,Always,Never,Always,Never,Always,Never,Always,Sometimes,Always,False
298,Always,Always,Never,Always,Always,Always,Always,Never,Never,Sometimes,Sometimes,Always,Always,Never,Always,Always,Never,Never,Never,Never,True
299,Always,Always,Sometimes,Sometimes,Always,Never,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Never,Always,False
300,Never,Never,Always,Sometimes,Always,Sometimes,Always,Never,Never,Always,Always,Always,Never,Always,Always,Sometimes,Never,Never,Always,Always,True
301,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,False
302,Never,Never,Always,Never,Never,Sometimes,Always,Never,Always,Sometimes,Never,Never,Never,Always,Always,Sometimes,Sometimes,Never,Always,Never,True
303,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,False
304,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Never,True
305,Always,Never,Sometimes,Always,Always,Never,Never,Never,Always,Sometimes,Never,Always,Always,Never,Always,Never,Sometimes,Never,Never,Sometimes,False
306,Never,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,Never,True
307,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Never,Always,Always,Always,Sometimes,Always,Never,Always,Sometimes,Never,Never,Never,Never,False
308,Sometimes,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Always,Always,Never,Sometimes,Sometimes,Always,True
309,Sometimes,Never,Never,Always,Never,Never,Never,Sometimes,Always,Never,Always,Never,Always,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,False
310,Always,Always,Always,Never,Sometimes,Sometimes,Always,Never,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,Never,True
311,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Sometimes,Never,Never,Always,Always,Never,Always,Never,False
312,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,Never,Sometimes,Never,Never,Never,Never,Always,Always,Sometimes,True
313,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Never,Never,Sometimes,Always,Sometimes,Never,Always,Never,Never,Never,Never,Always,Never,False
314,Always,Always,Sometimes,Always,Never,Always,Always,Always,Sometimes,Always,Always,Always,Never,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,True
315,Sometimes,Never,Never,Always,Always,Sometimes,Always,Always,Always,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,False
316,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,True
317,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Always,Sometimes,Never,Always,Sometimes,Always,Sometimes,Never,Never,False
318,Always,Always,Always,Always,Never,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,True
319,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,False
320,Sometimes,Always,Never,Always,Sometimes,Always,Sometimes,Never,Always,Always,Always,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Never,True
321,Always,Never,Never,Never,Always,Never,Never,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,False
322,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Never,True
323,Sometimes,Never,Always,Sometimes,Always,Never,Always,Always,Never,Always,Always,Never,Sometimes,Always,Always,Never,Sometimes,Always,Always,Sometimes,False
324,Never,Never,Sometimes,Always,Always,Always,Always,Always,Never,Always,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Always,True
325,Always,Sometimes,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Never,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Always,Never,Always,False
326,Sometimes,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Always,Always,Never,Always,Never,Always,Always,Always,Sometimes,Sometimes,Always,Never,True
327,Never,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Never,Always,Never,Never,False
328,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Never,Never,Always,Never,Never,Always,Never,Sometimes,Always,Never,Never,Always,Sometimes,True
329,Never,Always,Sometimes,Never,Always,Never,Always,Never,Sometimes,Always,Always,Never,Never,Never,Sometimes,Never,Never,Never,Always,Always,False
330,Always,Always,Sometimes,Always,Always,Sometimes,Never,Never,Always,Always,Never,Sometimes,Never,Sometimes,Never,Never,Never,Always,Never,Never,True
