ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
164,Never,Sometimes,Always,Always,Sometimes,Never,Always,Always,Sometimes,Never,Never,Always,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,True
165,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,False
166,Sometimes,Always,Never,Sometimes,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Always,Sometimes,Sometimes,Sometimes,Never,True
167,Never,Sometimes,Sometimes,Never,Always,Always,Never,Never,Never,Never,Never,Always,Never,Always,Always,Sometimes,Never,Never,Sometimes,Sometimes,False
168,Always,Never,Sometimes,Never,Never,Always,Always,Always,Always,Never,Always,Sometimes,Never,Always,Always,Never,Always,Always,Always,Never,True
169,Never,Never,Always,Sometimes,Always,Never,Sometimes,Always,Sometimes,Always,Never,Always,Always,Always,Never,Sometimes,Always,Never,Always,Never,False
170,Always,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,True
171,Sometimes,Always,Never,Never,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Never,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Never,False
172,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Always,Always,Sometimes,Never,Never,Sometimes,Sometimes,Always,Always,Never,Never,Always,True
173,Always,Always,Never,Always,Sometimes,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,Never,False
174,Always,Always,Always,Never,Never,Never,Always,Sometimes,Always,Sometimes,Never,Sometimes,Always,Sometimes,Always,Never,Never,Never,Never,Sometimes,True
175,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Always,Always,Always,Always,Never,Sometimes,Never,Never,False
176,Never,Never,Always,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Always,Never,Always,Never,Never,Always,Never,Always,Always,Never,True
177,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,False
178,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Never,Sometimes,Always,Never,Always,Always,Sometimes,Never,True
179,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Always,Always,Always,Always,Sometimes,Always,Never,Always,Always,Sometimes,Always,Never,False
180,Sometimes,Never,Always,Always,Sometimes,Never,Never,Always,Never,Never,Always,Always,Never,Never,Sometimes,Always,Always,Sometimes,Always,Sometimes,True
181,Always,Sometimes,Never,Always,Never,Always,Sometimes,Never,Always,Never,Always,Always,Always,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,False
182,Never,Never,Always,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,True
183,Sometimes,Always,Always,Never,Always,Never,Always,Sometimes,Never,Always,Never,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,False
184,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Always,Never,Never,Always,Always,Always,True
185,Always,Never,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Never,Sometimes,Always,Always,Sometimes,False
186,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Always,Never,Always,Always,Always,Never,Sometimes,Never,Sometimes,Never,Always,Never,Never,True
187,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Never,Never,Always,Always,Sometimes,Never,Always,Always,Sometimes,Always,False
188,Always,Always,Always,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Never,True
189,Never,Sometimes,Never,Always,Never,Never,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Always,False
190,Never,Always,Sometimes,Never,Never,Never,Always,Sometimes,Always,Sometimes,Always,Never,Never,Always,Sometimes,Always,Always,Never,Sometimes,Always,True
191,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,False
192,Never,Never,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,True
193,Never,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Never,Never,Always,False
194,Never,Never,Sometimes,Always,Always,Sometimes,Always,Always,Never,Never,Never,Never,Always,Never,Sometimes,Never,Never,Always,Always,Always,True
195,Never,Always,Always,Sometimes,Never,Never,Always,Always,Sometimes,Always,Never,Sometimes,Never,Always,Never,Always,Sometimes,Always,Always,Never,False
196,Always,Always,Always,Always,Always,Never,Never,Always,Always,Never,Sometimes,Always,Never,Never,Always,Always,Always,Never,Never,Sometimes,True
197,Always,Always,Never,Never,Always,Always,Never,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always,False
198,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Always,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,True
199,Never,Sometimes,Sometimes,Never,Never,Always,Never,Always,Never,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Always,Never,False
200,Always,Sometimes,Always,Never,Always,Always,Never,Never,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Never,Never,Never,Always,Never,True
201,Never,Always,Always,Never,Never,Always,Sometimes,Sometimes,Never,Never,Always,Never,Never,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,False
202,Sometimes,Always,Sometimes,Always,Always,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,True
203,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Never,Never,Always,Sometimes,Always,Sometimes,Always,Always,Never,Never,Sometimes,False
204,Never,Always,Always,Never,Never,Never,Sometimes,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,Never,Sometimes,Always,Sometimes,Always,True
205,Never,Sometimes,Always,Always,Always,Never,Always,Always,Sometimes,Always,Always,Never,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Always,False
206,Never,Always,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,True
207,Sometimes,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,False
208,Never,Always,Sometimes,Always,Never,Never,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Never,Always,Never,Never,Sometimes,Always,True
209,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Always,False
210,Always,Always,Always,Never,Never,Sometimes,Always,Never,Never,Always,Never,Always,Never,Never,Always,Always,Sometimes,Never,Always,Always,True
211,Sometimes,Always,Always,Always,Never,Always,Sometimes,Never,Always,Never,Always,Always,Sometimes,Never,Sometimes,Always,Sometimes,Always,Never,Sometimes,False
212,Never,Always,Sometimes,Never,Never,Never,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,True
213,Never,Never,Never,Sometimes,Always,Sometimes,Never,Always,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Never,Always,Always,Never,Never,False
214,Never,Sometimes,Sometimes,Always,Never,Never,Always,Always,Sometimes,Never,Sometimes,Always,Never,Always,Always,Never,Sometimes,Never,Always,Always,True
215,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Sometimes,Always,Never,Always,Never,Always,Sometimes,False
216,Sometimes,Never,Sometimes,Always,Sometimes,Never,Never,Always,Never,Always,Sometimes,Always,Always,Never,Never,Never,Never,Always,Always,Never,True
217,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,False
218,Always,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,Always,True
219,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Never,Always,Never,Never,Sometimes,Sometimes,False
220,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,True
221,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Always,Sometimes,Never,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Sometimes,False
222,Never,Sometimes,Never,Sometimes,Never,Never,Never,Always,Never,Sometimes,Never,Always,Always,Never,Sometimes,Never,Sometimes,Always,Sometimes,Always,True
223,Never,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,False
224,Sometimes,Never,Always,Never,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,True
225,Always,Never,Never,Always,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,False
226,Never,Sometimes,Sometimes,Never,Never,Always,Never,Always,Always,Always,Never,Never,Always,Always,Always,Always,Never,Sometimes,Sometimes,Sometimes,True
227,Sometimes,Sometimes,Always,Never,Always,Always,Always,Never,Always,Never,Always,Always,Sometimes,Never,Always,Never,Always,Never,Sometimes,Always,False
228,Always,Never,Never,Never,Always,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Never,Never,Never,Never,Always,Always,Sometimes,Sometimes,True
229,Always,Always,Never,Never,Always,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,False
230,Always,Never,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Never,Always,Never,Sometimes,Never,True
231,Never,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Never,Sometimes,Never,False
232,Sometimes,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Never,Never,Never,Always,Never,Always,True
233,Sometimes,Never,Always,Never,Sometimes,Never,Never,Always,Sometimes,Never,Always,Sometimes,Always,Always,Never,Never,Sometimes,Never,Sometimes,Always,False
234,Sometimes,Always,Never,Sometimes,Never,Always,Always,Never,Always,Always,Always,Always,Never,Never,Always,Always,Sometimes,Never,Never,Never,True
235,Never,Sometimes,Always,Never,Always,Never,Never,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,Never,Always,Always,False
236,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Never,Always,Always,Never,Never,Sometimes,Always,Sometimes,Always,Always,True
237,Sometimes,Always,Never,Never,Always,Always,Always,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,False
238,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,True
239,Sometimes,Always,Never,Sometimes,Never,Never,Always,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,False
240,Never,Never,Sometimes,Always,Never,Sometimes,Always,Always,Never,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,True
241,Always,Sometimes,Never,Never,Never,Never,Never,Always,Sometimes,Never,Never,Sometimes,Always,Always,Never,Always,Never,Always,Always,Never,False
242,Always,Never,Always,Sometimes,Always,Sometimes,Always,Never,Always,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,True
243,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,Sometimes,Never,Never,Always,Sometimes,Never,False
244,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Always,Always,Always,Always,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,True
245,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,Always,Always,Always,Always,Never,Never,False
246,Never,Always,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,True
247,Sometimes,Sometimes,Always,Sometimes,Never,Always,Sometimes,Always,Never,Never,Always,Always,Sometimes,Always,Sometimes,Never,Always,Never,Always,Sometimes,False
248,Always,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Always,Never,Always,Always,Sometimes,True
249,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,False
250,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,True
251,Sometimes,Sometimes,Never,Always,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Always,Never,Never,False
252,Never,Never,Never,Never,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Always,Always,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,True
253,Never,Never,Never,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Always,Never,Never,Always,Always,Never,Never,Always,Always,Never,False
254,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Never,Always,Always,Always,Always,Never,Always,Always,Always,Never,Sometimes,Sometimes,True
255,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,False
256,Sometimes,Never,Never,Sometimes,Never,Sometimes,Always,Always,Never,Always,Always,Always,Always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,True
257,Always,Never,Always,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,False
258,Always,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,True
259,Never,Sometimes,Never,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,False
260,Sometimes,Always,Sometimes,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,True
261,Always,Always,Never,Never,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,Never,Always,Always,Always,Always,Always,Always,Never,Always,False
262,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Always,True
263,Always,Never,Never,Never,Never,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Always,Always,Never,Sometimes,Sometimes,Always,False
264,Always,Never,Always,Never,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,Always,Always,Sometimes,True
265,Always,Always,Never,Sometimes,Always,Never,Never,Sometimes,Never,Never,Always,Never,Always,Always,Always,Never,Always,Always,Never,Sometimes,False
266,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,True
267,Sometimes,Sometimes,Always,Never,Always,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Always,Sometimes,Always,Always,Never,False
268,Never,Sometimes,Sometimes,Always,Always,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,True
269,Always,Never,Sometimes,Always,Always,Never,Never,Always,Never,Never,Never,Never,Always,Always,Always,Always,Always,Always,Always,Always,False
270,Always,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Never,Never,Never,Never,Never,True
271,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Always,Sometimes,Never,Sometimes,False
272,Never,Never,Sometimes,Never,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,Never,Always,Always,Always,True
273,Never,Sometimes,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Always,Never,Always,Always,Always,Sometimes,False
274,Always,Sometimes,Sometimes,Always,Never,Always,Never,Always,Sometimes,Never,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,True
275,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Always,Always,Sometimes,Sometimes,False
276,Always,Always,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Never,Never,Never,True
277,Never,Always,Sometimes,Sometimes,Never,Never,Always,Always,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Never,Always,False
278,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Never,Never,Never,Always,Always,Never,Sometimes,Always,Never,True
279,Always,Always,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Always,Never,False
280,Always,Sometimes,Sometimes,Never,Never,Always,Always,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Always,Sometimes,Always,True
281,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Never,Never,False
282,Always,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Sometimes,Always,Always,Never,Sometimes,Never,Never,Always,True
283,Always,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Never,Never,Never,Always,Never,Never,Sometimes,False
284,Sometimes,Always,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,Sometimes,Always,Never,Always,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,True
285,Always,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,False
286,Always,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Always,Never,Never,True
287,Never,Always,Never,Always,Always,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Always,Sometimes,False
288,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Never,Never,Never,Never,Never,Sometimes,True
289,Always,Sometimes,Never,Always,Never,Never,Never,Never,Always,Always,Never,Never,Always,Sometimes,Never,Always,Always,Never,Never,Never,False
290,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always,Never,True
291,Never,Always,Always,Always,Always,Never,Never,Always,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Always,False
292,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Never,Never,Never,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,True
293,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Always,Always,Never,False
294,Always,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,True
295,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Always,Never,Always,Sometimes,Always,Always,Always,Always,Always,False
296,Always,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Never,Never,Sometimes,Always,Always,Never,Sometimes,Never,Never,Never,Sometimes,Always,True
297,Sometimes,Always,Always,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Always,Always,Never,Sometimes,Never,Always,Sometimes,False
298,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Never,True
299,Always,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,Always,Always,Always,Always,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,False
300,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Never,Always,Never,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Never,True
301,Never,Always,Never,Always,Sometimes,Never,Always,Never,Always,Always,Always,Never,Never,Sometimes,Never,Never,Always,Always,Always,Never,False
302,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Always,Always,Never,True
303,Always,Always,Always,Sometimes,Always,Never,Always,Never,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,Always,Always,Always,Always,Always,False
304,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Always,Sometimes,True
305,Always,Never,Never,Always,Sometimes,Never,Sometimes,Never,Always,Never,Always,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,False
306,Never,Sometimes,Always,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Always,Sometimes,Never,Never,Always,True
307,Never,Never,Always,Always,Always,Always,Never,Always,Never,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,Never,Always,Sometimes,Always,False
308,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,True
309,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,Always,False
310,Never,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,Always,Always,Always,Never,Sometimes,Never,Never,Sometimes,Sometimes,Always,True
311,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,False
312,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Never,Never,Always,Always,Sometimes,Sometimes,True
313,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Never,False
314,Never,Always,Always,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,True
315,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Always,Always,False
316,Always,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Never,Always,Always,Always,Never,Always,Never,Sometimes,True
317,Never,Sometimes,Never,Sometimes,Always,Always,Always,Always,Sometimes,Always,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,False
318,Never,Never,Always,Always,Never,Always,Sometimes,Sometimes,Never,Never,Never,Never,Always,Never,Never,Sometimes,Never,Always,Sometimes,Always,True
319,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Never,Never,Always,Sometimes,Sometimes,False
320,Never,Never,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Never,Sometimes,True
321,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Always,Always,Never,Always,Never,Sometimes,Always,False
322,Never,Never,Sometimes,Never,Never,Always,Never,Never,Always,Always,Always,Sometimes,Sometimes,Always,Always,Never,Never,Always,Always,Sometimes,True
323,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,False
324,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,True
325,Sometimes,Never,Sometimes,Never,Never,Always,Always,Sometimes,Always,Never,Always,Never,Sometimes,Never,Always,Never,Never,Always,Always,Never,False
326,Never,Never,Always,Always,Always,Always,Always,Always,Always,Always,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Always,True
327,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Sometimes,False
328,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Never,Never,Always,Sometimes,Never,Sometimes,Never,Never,Never,Always,True
